Logs,Date/Time,Entry type?,Pee/Poop?,When?,Notes,Vibe?,Energy,Treat?,Logged By?
,"August 1, 2025 9:39 PM",sleep,Pee,21:30,He was relaxing and chewing one of his bones. Took him out for one last potty. Only peed. Placed in kennel for bedtime. ,🎉 ,Low,Yes,Adryan
,"August 1, 2025 9:39 PM",potty,Pee,21:30,He was relaxing and chewing one of his bones. Took him out for one last potty. Only peed. Placed in kennel for bedtime. ,🎉 ,Low,Yes,Adryan
,"August 1, 2025 9:04 PM",meal,None,20:45,"Fiddled with shaping a twist. It's too cute and he was a bit too focused so settled on luring it. Think I'll follow through. Also did some perch work. He's struggling with getting closer to me- need a barrier. Loves going away from me though, almost can cue it so he moves independently from me. Had a good amount of focus and energy for the time of night. Good session overall",🎉 ,Medium,Yes,Adryan
,"August 1, 2025 9:04 PM",training,None,20:45,"Fiddled with shaping a twist. It's too cute and he was a bit too focused so settled on luring it. Think I'll follow through. Also did some perch work. He's struggling with getting closer to me- need a barrier. Loves going away from me though, almost can cue it so he moves independently from me. Had a good amount of focus and energy for the time of night. Good session overall",🎉 ,Medium,Yes,Adryan
,"July 30, 2025 8:40 PM",meal,None,20:30,Focused but hungry. Too hungry for leave it. Really smart gut. Need to push a little more,🎉 ,Low,Yes,Adryan
,"July 30, 2025 8:40 PM",training,None,20:30,Focused but hungry. Too hungry for leave it. Really smart gut. Need to push a little more,🎉 ,Low,Yes,Adryan
,"July 29, 2025 8:06 PM",meal,None,19:50,Low energy during training. Tired? Still responsive. Making motions towards leave it. During perch work working on using a hand lure to improve rear end awareness. As well as body pressure ,🎉 ,Low,Yes,Adryan
,"July 29, 2025 8:06 PM",training,None,19:50,Low energy during training. Tired? Still responsive. Making motions towards leave it. During perch work working on using a hand lure to improve rear end awareness. As well as body pressure ,🎉 ,Low,Yes,Adryan
,"July 28, 2025 11:08 PM",potty,"Pee, Poop",23:05,Woke him up. Pooped 1st and then peed. Seems like the new food is okay with him at this time. ,🎉 ,Low,Yes,Adryan
,"July 28, 2025 7:40 PM",meal,None,19:12,Treat n train w/new food. Less malfunctions- only 1!! Added the target on the stand. Aware of moving to the target and then the treat comes. Need to add a cue for the target. Also worked on leave it. Adding the word!!! ,🎉 ,Medium,Yes,Adryan
